ACCIDENT REF,BOROUGH,BORO,EASTING,NORTHING,CREFNO,CASUALTY CLASS,CASUALTY SEX,CASUALTY AGE (BANDED),CASUALTY AGE,NO. OF CASUALTIES,CASUALTY SEVERITY,PED LOCATION,PED MOVEMENT,MODE OF TRAVEL,ACCIDENT DATE
1190205685,EALING,27,516125,180375,1,3 PEDESTRIAN,2 FEMALE,60+,70,1,1,04 CROSSING ROAD WITHIN 50M XING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/16
1190205721,WANDSWORTH,10,523732,172833,1,3 PEDESTRIAN,2 FEMALE,60+,64,1,1,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/16
1190205761,WESTMINSTER,1,528659,181294,1,3 PEDESTRIAN,1 MALE,25-59,31,1,1,09 IN ROAD - NOT CROSSING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/16
1190205783,TOWER HAMLETS,5,533948,182099,1,3 PEDESTRIAN,1 MALE,25-59,26,1,1,09 IN ROAD - NOT CROSSING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/16
1190205800,KENSINGTON & CHELSEA,12,526894,178944,1,3 PEDESTRIAN,1 MALE,25-59,32,1,1,01 CROSSING ROAD ON PED XING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/13
1190205810,KENSINGTON & CHELSEA,12,526644,177302,1,3 PEDESTRIAN,1 MALE,16-24,22,1,1,01 CROSSING ROAD ON PED XING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/16
1190205841,NEWHAM,17,543186,183675,1,3 PEDESTRIAN,2 FEMALE,0-15,12,1,1,01 CROSSING ROAD ON PED XING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/17
1190205849,WESTMINSTER,1,528458,181327,1,3 PEDESTRIAN,2 FEMALE,25-59,52,1,2,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/17
1190205852,RICHMOND-UPON-THAMES,24,513029,170927,1,3 PEDESTRIAN,2 FEMALE,60+,65,1,1,01 CROSSING ROAD ON PED XING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/17
1190205873,HARINGEY,31,531330,189858,1,3 PEDESTRIAN,2 FEMALE,16-24,19,1,1,10 UNKNOWN OR OTHER,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/16
1190205895,ISLINGTON,3,530571,186089,1,3 PEDESTRIAN,1 MALE,60+,80,1,2,01 CROSSING ROAD ON PED XING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/14
1190205928,ISLINGTON,3,531483,184842,1,3 PEDESTRIAN,1 MALE,25-59,28,1,2,09 IN ROAD - NOT CROSSING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/17
1190205930,HARROW,29,515456,191948,1,3 PEDESTRIAN,2 FEMALE,0-15,11,1,1,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/17
1190205940,REDBRIDGE,14,544577,186517,1,3 PEDESTRIAN,2 FEMALE,0-15,12,1,1,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/17
1190205951,LEWISHAM,7,538918,174699,1,3 PEDESTRIAN,2 FEMALE,25-59,52,1,1,09 IN ROAD - NOT CROSSING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/12
1190205959,WESTMINSTER,1,528079,181474,1,3 PEDESTRIAN,1 MALE,60+,61,1,2,04 CROSSING ROAD WITHIN 50M XING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/17
1190205973,BRENT,28,519245,186061,1,3 PEDESTRIAN,2 FEMALE,16-24,22,1,1,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/17
1190205992,BARNET,30,520689,189741,1,3 PEDESTRIAN,2 FEMALE,0-15,11,3,1,08 IN CENTRE OF CARRIAGEWAY,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/17
