_COLLISION ID,BOROUGH NAME,BOROUGH NUMBER,EASTING,NORTHING,_CASUALTY ID,_CASUALTY CLASS,CASUALTY GENDER,CASUALTY AGE (5 YEAR BANDS),CASUALTY AGE,_CASUALTY COUNT,_CASUALTY SEVERITY,PEDESTRIAN LOCATION,PEDESTRIAN MOVEMENT,CASUALTY MODE OF TRAVEL,_COLLISION DATE
1220403866,Waltham Forest,13,537353,192761,1,Pedestrian,Male,5-Sep,5.0,1,Slight,Crossing Road On Ped Xing,From Drivers N/Side,Pedestrian,2022-10-08
1220403876,Hounslow,25,513410,175520,1,Pedestrian,Female,25-29,25.0,1,Serious,Crossing Road On Ped Xing,Unknown Or Other,Pedestrian,2022-10-10
1220403881,Waltham Forest,13,536366,188754,1,Pedestrian,Female,15-19,17.0,1,Slight,Crossing Road (Not On Xing),From Drivers N/Side,Pedestrian,2022-10-10
1220403882,Westminster,1,525863,182733,1,Pedestrian,Male,14-Oct,13.0,1,Slight,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian,2022-10-10
1220403883,Hackney,4,533602,186265,1,Pedestrian,Male,Unknown,,1,Slight,Unknown Or Other,Unknown Or Other,Pedestrian,2022-10-10
1220403887,Hillingdon,26,507955,186193,1,Pedestrian,Male,75-79,78.0,1,Serious,Crossing Road On Ped Xing,From Drivers N/Side,Pedestrian,2022-10-10
1220403896,Hillingdon,26,505901,183153,1,Pedestrian,Male,14-Oct,11.0,1,Slight,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian,2022-10-10
1220403900,Tower Hamlets,5,537779,179785,1,Pedestrian,Female,20-24,24.0,1,Serious,Crossing Road Within 50m Xing,From Drivers N/Side,Pedestrian,2022-10-10
1220403920,Waltham Forest,13,538133,187694,1,Pedestrian,Female,40-44,40.0,1,Slight,In Road - Not Crossing,Unknown Or Other,Pedestrian,2022-10-10
1220403928,Bromley,19,542411,168256,1,Pedestrian,Female,14-Oct,13.0,1,Serious,Crossing Road On Ped Xing,From Drivers N/Side,Pedestrian,2022-10-10
1220403937,Kensington & Chelsea,12,527771,179165,1,Pedestrian,Male,25-29,28.0,1,Serious,On Footpath - Verge,Unknown Or Other,Pedestrian,2022-10-10
1220403937,Kensington & Chelsea,12,527771,179165,2,Pedestrian,Female,30-34,32.0,1,Serious,On Footpath - Verge,Unknown Or Other,Pedestrian,2022-10-10
1220403968,Southwark,8,531939,179036,1,Pedestrian,Female,20-24,21.0,1,Slight,Crossing Road On Ped Xing,From Drivers N/Side,Pedestrian,2022-10-11
1220403979,Richmond-Upon-Thames,24,519139,176756,1,Pedestrian,Female,80-84,83.0,1,Serious,Crossing Road (Not On Xing),From Drivers N/Side,Pedestrian,2022-10-11
